지역구분,년,작목군,작목,구분,값
강원,2020,과수,블루베리,농약비,11417.0
강원,2020,과수,블루베리,수도광열비,84762.0
강원,2020,과수,블루베리,기타재료비,315140.0
강원,2020,과수,블루베리,소농구비,8362.0
강원,2020,과수,블루베리,대농구상각비,96372.0
강원,2020,과수,블루베리,영농시설상각비,577808.0
강원,2020,과수,블루베리,수리·유지비,13316.0
강원,2020,과수,블루베리,과수원조성비,351214.0
강원,2020,과수,블루베리,기타비용,19052.0
강원,2020,과수,블루베리,농기계·시설임차료,887.0
강원,2020,과수,블루베리,토지임차료,29911.0
강원,2020,과수,블루베리,위탁영농비,0.0
강원,2020,과수,블루베리,고용노동비,886728.0
강원,2020,과수,블루베리,자가노동비,2723267.0
강원,2020,과수,블루베리,유동자본용역비,45976.0
강원,2020,과수,블루베리,고정자본용역비,205726.0
강원,2020,과수,블루베리,토지자본용역비,327245.0
강원,2020,과수,블루베리,부가가치,5849666.0
강원,2020,과수,블루베리,소득,4932140.0
강원,2020,과수,블루베리,고용노동단가(남),11736.0
강원,2020,과수,블루베리,고용노동단가(여),9722.0
강원,2020,과수,블루베리,자가노동단가(남),19548.0
강원,2020,과수,블루베리,자가노동단가(여),19548.0
강원,2020,과수,블루베리,총노동시간,221.8
강원,2020,과수,블루베리,자가노동시간,139.3
강원,2020,과수,블루베리,자가노동시간(남),80.8
강원,2020,과수,블루베리,자가노동시간(여),58.5
강원,2020,과수,블루베리,고용노동시간,82.5
강원,2020,과수,블루베리,고용노동시간(남),14.2
강원,2020,과수,블루베리,고용노동시간(여),68.4
강원,2020,과수,블루베리,소득률,66.2
강원,2020,과수,블루베리,순수익,1629926.0
강원,2020,과수,블루베리,순수익율,21.9
강원,2020,과수,블루베리,부가가치율,78.6
강원,2020,과수,블루베리,토지생산성,16440.0
강원,2020,과수,블루베리,노동생산성,22237.0
강원,2020,과수,블루베리,자본생산성,1.96
강원,2020,과수,블루베리,kg당 경영비,6190.0
강원,2020,과수,블루베리,kg당 생산비,14324.0
강원,2020,과수,사과,총수입,6029323.0
강원,2020,과수,사과,주산물가액,6029323.0
강원,2020,과수,사과,주산물수량,2378.0
강원,2020,과수,사과,수취가격,2535.0
강원,2020,과수,사과,생산비,4668653.0
강원,2020,과수,사과,경영비,2456929.0
강원,2020,과수,사과,중간재비,1954754.0
강원,2020,과수,사과,보통(무기질)비료비,69520.0
강원,2020,과수,사과,부산물(유기질)비료비,103445.0
강원,2020,과수,사과,농약비,284971.0
강원,2020,과수,사과,수도광열비,79878.0
강원,2020,과수,사과,기타재료비,261495.0
강원,2020,과수,사과,소농구비,2484.0
강원,2020,과수,사과,대농구상각비,464908.0
강원,2020,과수,사과,영농시설상각비,175226.0
강원,2020,과수,사과,수리·유지비,20505.0
강원,2020,과수,사과,과수원조성비,434153.0
강원,2020,과수,사과,기타비용,58171.0
강원,2020,과수,사과,농기계·시설임차료,13642.0
강원,2020,과수,사과,토지임차료,6207.0
강원,2020,과수,사과,위탁영농비,19996.0
강원,2020,과수,사과,고용노동비,462329.0
강원,2020,과수,사과,자가노동비,1726461.0
강원,2020,과수,사과,유동자본용역비,45420.0
강원,2020,과수,사과,고정자본용역비,168513.0
강원,2020,과수,사과,토지자본용역비,271331.0
강원,2020,과수,사과,부가가치,4074568.0
강원,2020,과수,사과,소득,3572394.0
강원,2020,과수,사과,고용노동단가(남),14308.0
강원,2020,과수,사과,고용노동단가(여),11808.0
강원,2020,과수,사과,자가노동단가(남),19548.0
강원,2020,과수,사과,자가노동단가(여),19548.0
강원,2020,과수,사과,총노동시간,125.2
강원,2020,과수,사과,자가노동시간,88.3
강원,2020,과수,사과,자가노동시간(남),58.5
강원,2020,과수,사과,자가노동시간(여),29.8
강원,2020,과수,사과,고용노동시간,36.9
강원,2020,과수,사과,고용노동시간(남),12.8
강원,2020,과수,사과,고용노동시간(여),24.1
강원,2020,과수,사과,소득률,59.3
강원,2020,과수,사과,순수익,1360670.0
강원,2020,과수,사과,순수익율,22.6
강원,2020,과수,사과,부가가치율,67.6
강원,2020,과수,사과,토지생산성,11908.0
강원,2020,과수,사과,노동생산성,28533.0
강원,2020,과수,사과,자본생산성,1.45
강원,2020,과수,사과,kg당 경영비,1033.0
강원,2020,과수,사과,kg당 생산비,1963.0
강원,2020,과수,오미자,총수입,4298678.0
강원,2020,과수,오미자,주산물가액,4298678.0
강원,2020,과수,오미자,주산물수량,496.0
강원,2020,과수,오미자,수취가격,8659.0
강원,2020,과수,오미자,생산비,5381141.0
강원,2020,과수,오미자,경영비,1789856.0
강원,2020,과수,오미자,중간재비,1360272.0
강원,2020,과수,오미자,보통(무기질)비료비,82190.0
강원,2020,과수,오미자,부산물(유기질)비료비,211475.0
강원,2020,과수,오미자,농약비,82260.0
강원,2020,과수,오미자,수도광열비,48679.0
강원,2020,과수,오미자,기타재료비,212934.0
강원,2020,과수,오미자,소농구비,6017.0
강원,2020,과수,오미자,대농구상각비,120148.0
